frame_id,brand,location,size,percentage,x,y,confidence,count,new_id
48,Toyota,Bib,3996,0.43359375,650.5,320,0.999942,1,72
49,Heineken,Led_Board_S,2856,0.309895833,744,253,0.999773,1,67
49,Muller,Led_Board_M,1666,0.180772569,896.5,255,0.999646,1,68
49,Muller,Led_Board_M,1472,0.159722222,833,255,0.999717,1,68
49,#BeTheNext,Grandstand,3078,0.333984375,98,45.5,0.999932,1,73
49,IAAF,Grandstand,738,0.080078125,397.5,47,0.999315,1,71
49,Seiko,Infield_Board,10350,1.123046875,1029,342.5,0.999776,1,74
49,Toyota,Bib,3332,0.361545139,646,295,0.999673,1,72
50,Heineken,Led_Board_S,3060,0.33203125,712,239,0.999973,1,67
50,Muller,Led_Board_M,972,0.10546875,846,238.5,0.998309,1,68
50,Muller,Led_Board_M,1053,0.114257813,792.5,239.5,0.999974,1,68
50,#BeTheNext,Grandstand,1848,0.200520833,172,62,0.999679,1,73
50,IAAF,Grandstand,720,0.078125,1137,17,0.992298,1,75
50,IAAF,Grandstand,612,0.06640625,423,62.5,0.998779,1,71
50,See_The_Best,Grandstand,3096,0.3359375,853,43,0.990685,1,76
50,Seiko,Infield_Board,7030,0.762803819,959.5,314,0.996265,1,74
50,Toyota,Bib,2581,0.280056424,576.5,275.5,0.999896,1,72
51,Heineken,Led_Board_S,1872,0.203125,699,202,0.993764,1,67
51,Muller,Led_Board_M,925,0.100368924,813.5,203.5,0.999223,1,68
51,Muller,Led_Board_M,840,0.091145833,769,205,0.999762,1,68
51,#BeTheNext,Grandstand,1314,0.142578125,237.5,53,0.989976,1,73
51,IAAF,Grandstand,429,0.046549479,1058.5,13.5,0.954078,1,75
51,IAAF,Grandstand,416,0.045138889,452,52.5,0.999425,1,71
51,See_The_Best,Grandstand,1924,0.208767361,820,34,0.97639,1,76
51,Seiko,Infield_Board,5022,0.544921875,902,266.5,0.999178,1,74
52,Heineken,Led_Board_S,1426,0.154730903,703,164.5,0.998186,1,67
52,Muller,Led_Board_M,690,0.074869792,756,164.5,0.943699,1,68
52,Muller,Led_Board_M,560,0.060763889,797,164,0.988455,1,68
52,#BeTheNext,Grandstand,1197,0.129882813,310.5,37.5,0.999831,1,73
52,IAAF,Grandstand,288,0.03125,490,37,0.995792,1,71
52,See_The_Best,Grandstand,1495,0.162217882,803.5,20.5,0.972212,1,76
52,Seiko,Infield_Board,2990,0.324435764,861.5,219,0.994765,1,74
53,Heineken,Led_Board_S,1386,0.150390625,711,161.5,0.999271,1,67
53,Muller,Led_Board_M,575,0.062391493,805.5,162.5,0.994416,1,68
53,Muller,Led_Board_M,825,0.089518229,769.5,161.5,0.997222,1,68
53,#BeTheNext,Grandstand,1728,0.1875,812,16,0.560084,1,77
53,#BeTheNext,Grandstand,1080,0.1171875,325,35,0.999586,1,73
53,IAAF,Grandstand,286,0.031032986,504,34.5,0.986149,1,71
